* [https://www.spinics.net/lists/linux-soc/msg07293.html][PATCH] soc: qcom: msm_bus: initialize cldata->handle field, Lu Shuaibing
+ [https://www.spinics.net/lists/linux-soc/msg06658.html][PATCH 4/4] drm/msm/gpu: Attach to the GPU GX power domain, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06668.html]Re: [PATCH 4/4] drm/msm/gpu: Attach to the GPU GX power domain, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06673.html]Re: [PATCH 4/4] drm/msm/gpu: Attach to the GPU GX power domain, Jordan Crouse
@ [https://www.spinics.net/lists/linux-soc/msg06676.html]Re: [PATCH 4/4] drm/msm/gpu: Attach to the GPU GX power domain, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06649.html][PATCH v2 0/4] thermal: tsens: Add support for QCS404 platform, Amit Kucheria
* [https://www.spinics.net/lists/linux-soc/msg06624.html][PATCH v3 00/21] octeontx2-af: NPC MCAM support and FLR handling, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06625.html][PATCH v3 01/21] octeontx2-af: Convert mbox handlers APIs to lowercase, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06626.html][PATCH v3 02/21] octeontx2-af: Support to modify min/max allowed packet lengths, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06627.html][PATCH v3 03/21] octeontx2-af: Support to get NIX HW constants from AF, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06628.html][PATCH v3 04/21] octeontx2-af: Relax resource lock into mutex, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06629.html][PATCH v3 05/21] octeontx2-af: NPC MCAM entry alloc/free support, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06630.html][PATCH v3 06/21] octeontx2-af: MCAM entry installation support, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06631.html][PATCH v3 07/21] octeontx2-af: Support for NPC MCAM counters, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06632.html][PATCH v3 08/21] octeontx2-af: Map or unmap NPC MCAM entry and counter, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06633.html][PATCH v3 09/21] octeontx2-af: Alloc and config NPC MCAM entry at a time, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06634.html][PATCH v3 10/21] octeontx2-af: Add MKEX default profile, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06635.html][PATCH v3 11/21] octeontx2-af: Support to enable/disable default MCAM entries, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06636.html][PATCH v3 12/21] octeontx2-af: Add support for stripping STAG/CTAG, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06637.html][PATCH v3 13/21] octeontx2-af: Verify NPA/SSO/NIX PF_FUNC mapping, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06638.html][PATCH v3 14/21] octeontx2-af: Add FLR interrupt handler, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06639.html][PATCH v3 15/21] octeontx2-af: Teardown NPA, NIX LF upon receiving FLR, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06640.html][PATCH v3 16/21] octeontx2-af: Mbox communication support btw AF and it's VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06641.html][PATCH v3 17/21] octeontx2-af: Enable sriov on AF to create VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06642.html][PATCH v3 18/21] octeontx2-af: Configure AF VFs to talk over LBK channels, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06643.html][PATCH v3 19/21] octeontx2-af: Add FLR handling support for AF's VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06644.html][PATCH v3 20/21] octeontx2-af: Add interrupt handlers for Master Enable event, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06645.html][PATCH v3 21/21] octeontx2-af: Workarounds for HW errata, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06660.html]Re: [PATCH v3 00/21] octeontx2-af: NPC MCAM support and FLR handling, David Miller
* [https://www.spinics.net/lists/linux-soc/msg06623.html][PATCH 1/2] arm64: dts: qcom: msm8996: Add VFE SMMU node, Todor Tomov
+ [https://www.spinics.net/lists/linux-soc/msg06622.html][PATCH 2/2] arm64: dts: qcom: msm8996: Add CAMSS support, Todor Tomov
+ [https://www.spinics.net/lists/linux-soc/msg06646.html]Re: [PATCH 1/2] arm64: dts: qcom: msm8996: Add VFE SMMU node, Vivek Gautam
* [https://www.spinics.net/lists/linux-soc/msg06621.html][PATCH -next] soc: qcom: llcc-slice: Remove duplicated include from llcc-slice.c, YueHaibing
+ [https://www.spinics.net/lists/linux-soc/msg06726.html]Re: [PATCH -next] soc: qcom: llcc-slice: Remove duplicated include from llcc-slice.c, Andy Gross
* [https://www.spinics.net/lists/linux-soc/msg06617.html][PATCH 0/3] arm64: dts: qcom: QCS404 BLSP nodes, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06618.html][PATCH 3/3] arm64: dts: qcom: qcs404: Add QUP I2C and SPI nodes, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06619.html][PATCH 2/3] arm64: dts: qcom: qcs404: Define remaining UARTs, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06620.html][PATCH 1/3] arm64: dts: qcom: qcs404: Specify pinctrl state for UART, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06732.html]Re: [PATCH 0/3] arm64: dts: qcom: QCS404 BLSP nodes, Vinod Koul
* [https://www.spinics.net/lists/linux-soc/msg06606.html][PATCH 00/10] ARM64: dts: Fix incomplete cooling-maps, Viresh Kumar
+ [https://www.spinics.net/lists/linux-soc/msg06607.html][PATCH 07/10] ARM64: dts: msm8916: Add all CPUs in cooling maps, Viresh Kumar
* [https://www.spinics.net/lists/linux-soc/msg06600.html][PATCH v2 0/3] Enable SD card slot on msm8998 MTP, Jeffrey Hugo
+ [https://www.spinics.net/lists/linux-soc/msg06601.html][PATCH v2 2/3] arm64: dts: qcom: msm8998: Add SDCC2, Jeffrey Hugo
+ [https://www.spinics.net/lists/linux-soc/msg06602.html][PATCH v2 3/3] arm64: dts: qcom: msm8998-mtp: Add external SD, Jeffrey Hugo
+ [https://www.spinics.net/lists/linux-soc/msg06603.html][PATCH v2 1/3] arm64: dts: qcom: msm8998: correct xo clock name, Jeffrey Hugo
* [https://www.spinics.net/lists/linux-soc/msg06593.html][PATCH] qcom: apr: Make apr callbacks in non-atomic context, Srinivas Kandagatla
+ [https://www.spinics.net/lists/linux-soc/msg07041.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Srinivas Kandagatla
+ [https://www.spinics.net/lists/linux-soc/msg07043.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg07044.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Srinivas Kandagatla
# [https://www.spinics.net/lists/linux-soc/msg07045.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Bjorn Andersson
@ [https://www.spinics.net/lists/linux-soc/msg07046.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Srinivas Kandagatla
- [https://www.spinics.net/lists/linux-soc/msg07062.html]Re: [PATCH] qcom: apr: Make apr callbacks in non-atomic context, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06590.html][PATCH 0/4] Enable SD crd slot on msm8998 MTP, Jeffrey Hugo
+ [https://www.spinics.net/lists/linux-soc/msg06586.html][PATCH 2/4] arm64: dts: qcom: msm8998: Add SDCC2, Jeffrey Hugo
o [https://www.spinics.net/lists/linux-soc/msg06592.html]Re: [PATCH 2/4] arm64: dts: qcom: msm8998: Add SDCC2, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06587.html][PATCH 3/4] arm64: dts: qcom: msm8998: Add SDC2 control pins, Jeffrey Hugo
o [https://www.spinics.net/lists/linux-soc/msg06595.html]Re: [PATCH 3/4] arm64: dts: qcom: msm8998: Add SDC2 control pins, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg06599.html]Re: [PATCH 3/4] arm64: dts: qcom: msm8998: Add SDC2 control pins, Jeffrey Hugo
+ [https://www.spinics.net/lists/linux-soc/msg06588.html][PATCH 4/4] arm64: dts: qcom: msm8998-mtp: Add external SD, Jeffrey Hugo
o [https://www.spinics.net/lists/linux-soc/msg06594.html]Re: [PATCH 4/4] arm64: dts: qcom: msm8998-mtp: Add external SD, Andy Gross
# [https://www.spinics.net/lists/linux-soc/msg06598.html]Re: [PATCH 4/4] arm64: dts: qcom: msm8998-mtp: Add external SD, Jeffrey Hugo
o [https://www.spinics.net/lists/linux-soc/msg06597.html]Re: [PATCH 4/4] arm64: dts: qcom: msm8998-mtp: Add external SD, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06589.html][PATCH 1/4] arm64: dts: qcom: msm8998: correct xo clock name, Jeffrey Hugo
o [https://www.spinics.net/lists/linux-soc/msg06591.html]Re: [PATCH 1/4] arm64: dts: qcom: msm8998: correct xo clock name, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06562.html][PATCH v2 00/21] octeontx2-af: NPC MCAM support and FLR handling, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06563.html][PATCH v2 01/21] octeontx2-af: Convert mbox handlers APIs to lowercase, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06564.html][PATCH v2 02/21] octeontx2-af: Support to modify min/max allowed packet lengths, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06565.html][PATCH v2 03/21] octeontx2-af: Support to get NIX HW constants from AF, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06566.html][PATCH v2 04/21] octeontx2-af: Relax resource lock into mutex, sunil . kovvuri
o [https://www.spinics.net/lists/linux-soc/msg06613.html]Re: [PATCH v2 04/21] octeontx2-af: Relax resource lock into mutex, David Miller
# [https://www.spinics.net/lists/linux-soc/msg06615.html]Re: [PATCH v2 04/21] octeontx2-af: Relax resource lock into mutex, Sunil Kovvuri
@ [https://www.spinics.net/lists/linux-soc/msg06616.html]Re: [PATCH v2 04/21] octeontx2-af: Relax resource lock into mutex, David Miller
+ [https://www.spinics.net/lists/linux-soc/msg06567.html][PATCH v2 05/21] octeontx2-af: NPC MCAM entry alloc/free support, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06568.html][PATCH v2 06/21] octeontx2-af: MCAM entry installation support, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06569.html][PATCH v2 07/21] octeontx2-af: Support for NPC MCAM counters, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06570.html][PATCH v2 08/21] octeontx2-af: Map or unmap NPC MCAM entry and counter, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06571.html][PATCH v2 09/21] octeontx2-af: Alloc and config NPC MCAM entry at a time, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06572.html][PATCH v2 10/21] octeontx2-af: Add MKEX default profile, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06573.html][PATCH v2 11/21] octeontx2-af: Support to enable/disable default MCAM entries, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06574.html][PATCH v2 12/21] octeontx2-af: Add support for stripping STAG/CTAG, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06575.html][PATCH v2 13/21] octeontx2-af: Verify NPA/SSO/NIX PF_FUNC mapping, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06576.html][PATCH v2 14/21] octeontx2-af: Add FLR interrupt handler, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06577.html][PATCH v2 15/21] octeontx2-af: Teardown NPA, NIX LF upon receiving FLR, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06578.html][PATCH v2 16/21] octeontx2-af: Mbox communication support btw AF and it's VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06579.html][PATCH v2 17/21] octeontx2-af: Enable sriov on AF to create VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06580.html][PATCH v2 18/21] octeontx2-af: Configure AF VFs to talk over LBK channels, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06581.html][PATCH v2 19/21] octeontx2-af: Add FLR handling support for AF's VFs, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06582.html][PATCH v2 20/21] octeontx2-af: Add interrupt handlers for Master Enable event, sunil . kovvuri
+ [https://www.spinics.net/lists/linux-soc/msg06583.html][PATCH v2 21/21] octeontx2-af: Workarounds for HW errata, sunil . kovvuri
* [https://www.spinics.net/lists/linux-soc/msg06538.html][PATCH v4 0/8] clk: clkdev: managed clk lookup and provider registrations, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-soc/msg06539.html][PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Matti Vaittinen
o [https://www.spinics.net/lists/linux-soc/msg06749.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06751.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Matti Vaittinen
@ [https://www.spinics.net/lists/linux-soc/msg06753.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Russell King - ARM Linux
- [https://www.spinics.net/lists/linux-soc/msg06754.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Matti Vaittinen
@ [https://www.spinics.net/lists/linux-soc/msg06768.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Matti Vaittinen
@ [https://www.spinics.net/lists/linux-soc/msg06779.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Stephen Boyd
- [https://www.spinics.net/lists/linux-soc/msg06782.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Matti Vaittinen
= [https://www.spinics.net/lists/linux-soc/msg06786.html]Re: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06787.html]RE: [PATCH v4 1/8] clk: clkdev/of_clk - add managed lookup and provider registrations, Vaittinen, Matti
+ [https://www.spinics.net/lists/linux-soc/msg06540.html][PATCH v4 2/8] clk: clk-max77686: Clean clkdev lookup leak and use devm, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-soc/msg06541.html][PATCH v4 3/8] clk: clk-st: avoid clkdev lookup leak at remove, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-soc/msg06542.html][PATCH v4 4/8] clk: clk-hi655x: Free of_provider at remove, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-soc/msg06543.html][PATCH v4 5/8] clk: rk808: use managed version of of_provider registration, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-soc/msg06544.html][PATCH v4 6/8] clk: clk-twl6040: Free of_provider at remove, Matti Vaittinen
