* [https://www.spinics.net/lists/arm-kernel/msg741994.html][PATCH] rqchip/stm32: Remove unneeded call to kfree, Hariprasad Kelam
o [https://www.spinics.net/lists/arm-kernel/msg741148.html][PATCH v1 27/50] ARM: dts: exynos: align bus_wcore OPPs in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741552.html]Re: [PATCH v1 27/50] ARM: dts: exynos: align bus_wcore OPPs in Exynos5420, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741555.html]Re: [PATCH v1 27/50] ARM: dts: exynos: align bus_wcore OPPs in Exynos5420, Lukasz Luba
@ [https://www.spinics.net/lists/arm-kernel/msg741622.html]Re: [PATCH v1 27/50] ARM: dts: exynos: align bus_wcore OPPs in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741149.html][PATCH v1 48/50] ARM: dts: exynos: set proper parents to bus_isp266 Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741150.html][PATCH v1 25/50] ARM: dts: exynos: add 300MHz to bus_disp1_fimd in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741537.html]Re: [PATCH v1 25/50] ARM: dts: exynos: add 300MHz to bus_disp1_fimd in Exynos5420, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741151.html][PATCH v1 38/50] ARM: dts: exynos: change parent and rate of bus_fsys2 in Exynos5422, Lukasz Luba
* [https://www.spinics.net/lists/arm-kernel/msg741091.html][PATCH v2 0/4] add coupled regulators for Exynos5422/5800, Kamil Konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741092.html][PATCH v2 1/4] opp: core: add regulators enable and disable, Kamil Konieczny
# [https://www.spinics.net/lists/arm-kernel/msg741241.html]Re: [PATCH v2 1/4] opp: core: add regulators enable and disable, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741598.html]Re: [PATCH v2 1/4] opp: core: add regulators enable and disable, Kamil Konieczny
# [https://www.spinics.net/lists/arm-kernel/msg741292.html]Re: [PATCH v2 1/4] opp: core: add regulators enable and disable, Viresh Kumar
@ [https://www.spinics.net/lists/arm-kernel/msg741599.html]Re: [PATCH v2 1/4] opp: core: add regulators enable and disable, Kamil Konieczny
o [https://www.spinics.net/lists/arm-kernel/msg741093.html][PATCH v2 4/4] dt-bindings: devfreq: exynos-bus: remove unused property, Kamil Konieczny
# [https://www.spinics.net/lists/arm-kernel/msg741286.html]Re: [PATCH v2 4/4] dt-bindings: devfreq: exynos-bus: remove unused property, Chanwoo Choi
o [https://www.spinics.net/lists/arm-kernel/msg741094.html][PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Kamil Konieczny
# [https://www.spinics.net/lists/arm-kernel/msg741240.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741294.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Bartlomiej Zolnierkiewicz
- [https://www.spinics.net/lists/arm-kernel/msg741300.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Chanwoo Choi
= [https://www.spinics.net/lists/arm-kernel/msg741312.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Bartlomiej Zolnierkiewicz
* [https://www.spinics.net/lists/arm-kernel/msg741319.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Chanwoo Choi
+ [https://www.spinics.net/lists/arm-kernel/msg741321.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Bartlomiej Zolnierkiewicz
o [https://www.spinics.net/lists/arm-kernel/msg741325.html]Re: [PATCH v2 2/4] devfreq: exynos-bus: convert to use dev_pm_opp_set_rate(), Bartlomiej Zolnierkiewicz
o [https://www.spinics.net/lists/arm-kernel/msg741095.html][PATCH v2 3/4] ARM: dts: exynos: add initial data for coupled regulators for Exynos5422/5800, Kamil Konieczny
# [https://www.spinics.net/lists/arm-kernel/msg741283.html]Re: [PATCH v2 3/4] ARM: dts: exynos: add initial data for coupled regulators for Exynos5422/5800, Chanwoo Choi
# [https://www.spinics.net/lists/arm-kernel/msg741288.html]Re: [PATCH v2 3/4] ARM: dts: exynos: add initial data for coupled regulators for Exynos5422/5800, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741299.html]Re: [PATCH v2 3/4] ARM: dts: exynos: add initial data for coupled regulators for Exynos5422/5800, Bartlomiej Zolnierkiewicz
* [https://www.spinics.net/lists/arm-kernel/msg741078.html][PATCH v2 0/2] arm64: dts: imx8mq: Add DT node for the Mixel MIPI D-PHY, Guido Günther
+ [https://www.spinics.net/lists/arm-kernel/msg741079.html][PATCH v2 2/2] arm64: dts: imx8mq-librem5: Enable MIPI D-PHY, Guido Günther
o [https://www.spinics.net/lists/arm-kernel/msg741084.html]Re: [PATCH v2 2/2] arm64: dts: imx8mq-librem5: Enable MIPI D-PHY, Lucas Stach
+ [https://www.spinics.net/lists/arm-kernel/msg741080.html][PATCH v2 1/2] arm64: dts: imx8mq: Add MIPI D-PHY, Guido Günther
o [https://www.spinics.net/lists/arm-kernel/msg741083.html]Re: [PATCH v2 1/2] arm64: dts: imx8mq: Add MIPI D-PHY, Lucas Stach
o [https://www.spinics.net/lists/arm-kernel/msg741087.html]Re: [PATCH v2 1/2] arm64: dts: imx8mq: Add MIPI D-PHY, Abel Vesa
* [https://www.spinics.net/lists/arm-kernel/msg741074.html][PATCH v3 0/2] mailbox: arm: introduce smc triggered mailbox, Peng Fan
+ [https://www.spinics.net/lists/arm-kernel/msg741075.html][PATCH v3 1/2] dt-bindings: mailbox: add binding doc for the ARM SMC/HVC mailbox, Peng Fan
o [https://www.spinics.net/lists/arm-kernel/msg741189.html]Re: [PATCH v3 1/2] dt-bindings: mailbox: add binding doc for the ARM SMC/HVC mailbox, Rob Herring
# [https://www.spinics.net/lists/arm-kernel/msg741676.html]RE: [PATCH v3 1/2] dt-bindings: mailbox: add binding doc for the ARM SMC/HVC mailbox, Peng Fan
o [https://www.spinics.net/lists/arm-kernel/msg741626.html]Re: [PATCH v3 1/2] dt-bindings: mailbox: add binding doc for the ARM SMC/HVC mailbox, Sudeep Holla
# [https://www.spinics.net/lists/arm-kernel/msg741677.html]RE: [PATCH v3 1/2] dt-bindings: mailbox: add binding doc for the ARM SMC/HVC mailbox, Peng Fan
+ [https://www.spinics.net/lists/arm-kernel/msg741076.html][PATCH v3 2/2] mailbox: introduce ARM SMC based mailbox, Peng Fan
* [https://www.spinics.net/lists/arm-kernel/msg741055.html][PATCH V6 RESEND 0/3] arm64/mm: Enable memory hot remove, Anshuman Khandual
+ [https://www.spinics.net/lists/arm-kernel/msg741056.html][PATCH V6 RESEND 1/3] mm/hotplug: Reorder memblock_[free|remove]() calls in try_remove_memory(), Anshuman Khandual
+ [https://www.spinics.net/lists/arm-kernel/msg741057.html][PATCH V6 RESEND 2/3] arm64/mm: Hold memory hotplug lock while walking for kernel page table dump, Anshuman Khandual
+ [https://www.spinics.net/lists/arm-kernel/msg741058.html][PATCH V6 RESEND 3/3] arm64/mm: Enable memory hot remove, Anshuman Khandual
* [https://www.spinics.net/lists/arm-kernel/msg741050.html][PATCH v3 15/24] media: exynos4-is: Remove call to memset after dma_alloc_coherent, Fuqian Huang
o [https://www.spinics.net/lists/arm-kernel/msg741070.html]Re: [PATCH v3 15/24] media: exynos4-is: Remove call to memset after dma_alloc_coherent, Sylwester Nawrocki
# [https://www.spinics.net/lists/arm-kernel/msg741072.html]Re: [PATCH v3 15/24] media: exynos4-is: Remove call to memset after dma_alloc_coherent, Fuqian Huang
@ [https://www.spinics.net/lists/arm-kernel/msg741089.html]Re: [PATCH v3 15/24] media: exynos4-is: Remove call to memset after dma_alloc_coherent, Sylwester Nawrocki
o [https://www.spinics.net/lists/arm-kernel/msg741090.html]Re: [PATCH v3 15/24] media: exynos4-is: Remove call to memset after dma_alloc_coherent, Sylwester Nawrocki
* [https://www.spinics.net/lists/arm-kernel/msg741049.html][PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Fuqian Huang
+ [https://www.spinics.net/lists/arm-kernel/msg741051.html]Re: [PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Sinan Kaya
o [https://www.spinics.net/lists/arm-kernel/msg741054.html]Re: [PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Fuqian Huang
# [https://www.spinics.net/lists/arm-kernel/msg741178.html]Re: [PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Sinan Kaya
@ [https://www.spinics.net/lists/arm-kernel/msg741320.html]Re: [PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Robin Murphy
- [https://www.spinics.net/lists/arm-kernel/msg741360.html]Re: [PATCH v3 04/24] dmaengine: qcom_hidma: Remove call to memset after dmam_alloc_coherent, Sinan Kaya
* [https://www.spinics.net/lists/arm-kernel/msg741048.html][PATCH v3 03/24] dmaengine: imx-sdma: Remove call to memset after dma_alloc_coherent, Fuqian Huang
* [https://www.spinics.net/lists/arm-kernel/msg741046.html][PATCH] clk: imx: imx8mm: fix audio pll setting, Peng Fan
+ [https://www.spinics.net/lists/arm-kernel/msg741061.html]Re: [PATCH] clk: imx: imx8mm: fix audio pll setting, Abel Vesa
* [https://www.spinics.net/lists/arm-kernel/msg741017.html][PATCH] tracing/fgraph: support recording function return values, Changbin Du
+ [https://www.spinics.net/lists/arm-kernel/msg741068.html]Re: [PATCH] tracing/fgraph: support recording function return values, Will Deacon
o [https://www.spinics.net/lists/arm-kernel/msg741077.html]Re: [PATCH] tracing/fgraph: support recording function return values, Peter Zijlstra
# [https://www.spinics.net/lists/arm-kernel/msg741350.html]Re: [PATCH] tracing/fgraph: support recording function return values, Changbin Du
@ [https://www.spinics.net/lists/arm-kernel/msg741347.html]Re: [PATCH] tracing/fgraph: support recording function return values, Peter Zijlstra
- [https://www.spinics.net/lists/arm-kernel/msg741377.html]Re: [PATCH] tracing/fgraph: support recording function return values, Steven Rostedt
* [https://www.spinics.net/lists/arm-kernel/msg741015.html][PATCH 0/3] drm/sun4i: Add support for color encoding and range, Jernej Skrabec
+ [https://www.spinics.net/lists/arm-kernel/msg741013.html][PATCH 1/3] drm/sun4i: Introduce color encoding and range properties, Jernej Skrabec
+ [https://www.spinics.net/lists/arm-kernel/msg741014.html][PATCH 2/3] drm/sun4i: sun8i_csc: Simplify register writes, Jernej Skrabec
+ [https://www.spinics.net/lists/arm-kernel/msg741016.html][PATCH 3/3] drm/sun4i: sun8i-csc: Add support for color encoding and range, Jernej Skrabec
* [https://www.spinics.net/lists/arm-kernel/msg741009.html][PATCH] KVM: arm64: Update kvm_arm_exception_class and esr_class_str for new EC, Zenghui Yu
* [https://www.spinics.net/lists/arm-kernel/msg741008.html][PATCH] kbuild: add --hash-style= and --build-id unconditionally, Masahiro Yamada
+ [https://www.spinics.net/lists/arm-kernel/msg741010.html]Re: [PATCH] kbuild: add --hash-style= and --build-id unconditionally, Nathan Chancellor
+ [https://www.spinics.net/lists/arm-kernel/msg741097.html]Re: [PATCH] kbuild: add --hash-style= and --build-id unconditionally, Masahiro Yamada
* [https://www.spinics.net/lists/arm-kernel/msg740999.html][PATCH v4 0/8] Support for Allwinner V3/S3L and Sochip S3, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741000.html][PATCH v4 1/8] pinctrl: sunxi: v3s: introduce support for V3, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741001.html][PATCH v4 2/8] clk: sunxi-ng: v3s: add the missing PLL_DDR1, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741002.html][PATCH v4 3/8] dt-bindings: clk: sunxi-ccu: add compatible string for V3 CCU, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741003.html][PATCH v4 4/8] clk: sunxi-ng: v3s: add missing clock slices for MMC2 module clocks, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741004.html][PATCH v4 5/8] clk: sunxi-ng: v3s: add Allwinner V3 support, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741005.html][PATCH v4 6/8] ARM: sunxi: dts: s3/s3l/v3: add DTSI files for S3/S3L/V3 SoCs, Icenowy Zheng
+ [https://www.spinics.net/lists/arm-kernel/msg741006.html][PATCH v4 7/8] dt-bindings: arm: sunxi: add binding for Lichee Zero Plus core board, Icenowy Zheng
o [https://www.spinics.net/lists/arm-kernel/msg741190.html]Re: [PATCH v4 7/8] dt-bindings: arm: sunxi: add binding for Lichee Zero Plus core board, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741007.html][PATCH v4 8/8] ARM: dts: sun8i: s3: add devicetree for Lichee zero plus w/ S3, Icenowy Zheng
* [https://www.spinics.net/lists/arm-kernel/msg740991.html][PATCH 1/2] bus: imx-weim: optionally enable burst clock mode, Sven Van Asbroeck
+ [https://www.spinics.net/lists/arm-kernel/msg740992.html][PATCH 2/2] dt-bindings: bus: imx-weim: document optional burst clock mode, Sven Van Asbroeck
* [https://www.spinics.net/lists/arm-kernel/msg740988.html][PATCH 2/3 v2] dt-bindings: gpio: aspeed: Add SGPIO support, Hongwei Zhang
+ [https://www.spinics.net/lists/arm-kernel/msg741044.html]Re: [PATCH 2/3 v2] dt-bindings: gpio: aspeed: Add SGPIO support, Andrew Jeffery
