* [https://www.spinics.net/lists/linux-watchdog/msg16226.html][PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Mark Balantzyan
o [https://www.spinics.net/lists/linux-watchdog/msg15638.html]Re: [PATCH 23/23] watchdog: tangox_wdt: Convert to use device managed functions and other improvements, Måns Rullgård
+ [https://www.spinics.net/lists/linux-watchdog/msg15615.html][PATCH 22/23] watchdog: sunxi_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15636.html]Re: [PATCH 22/23] watchdog: sunxi_wdt: Use 'dev' instead of dereferencing it repeatedly, Maxime Ripard
+ [https://www.spinics.net/lists/linux-watchdog/msg15616.html][PATCH 21/23] watchdog: stpmic1_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15617.html][PATCH 20/23] watchdog: stmp3xxx_rtc_wdt: Convert to use device managed functions, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15618.html][PATCH 19/23] watchdog: st_lpc_wdt: Convert to use device managed functions, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15637.html]Re: [PATCH 19/23] watchdog: st_lpc_wdt: Convert to use device managed functions, Patrice CHOTARD
+ [https://www.spinics.net/lists/linux-watchdog/msg15619.html][PATCH 17/23] watchdog: sirfsoc_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15620.html][PATCH 18/23] watchdog: 1: Convert to use device managed functions and other improvements, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15634.html]Re: [PATCH 18/23] watchdog: 1: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15621.html][PATCH 16/23] watchdog: sama5d4_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15622.html][PATCH 15/23] watchdog: rza_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15623.html][PATCH 13/23] watchdog: rn5t618_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15624.html][PATCH 07/23] watchdog: moxart_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15625.html][PATCH 08/23] watchdog: mtk_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15626.html][PATCH 10/23] watchdog: of_xilinx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15635.html]Re: [PATCH 10/23] watchdog: of_xilinx_wdt: Convert to use device managed functions and other improvements, Michal Simek
# [https://www.spinics.net/lists/linux-watchdog/msg15639.html]Re: [PATCH 10/23] watchdog: of_xilinx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15627.html][PATCH 12/23] watchdog: qcom-wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15628.html][PATCH 14/23] watchdog: rtd119x_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15629.html][PATCH 09/23] watchdog: npcm_wdt: Use local variable 'dev' consistently, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15630.html][PATCH 01/23] watchdog: max77620_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15631.html][PATCH 02/23] watchdog: mena21_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15679.html]Re: [PATCH 02/23] watchdog: mena21_wdt: Use 'dev' instead of dereferencing it repeatedly, Johannes Thumshirn
+ [https://www.spinics.net/lists/linux-watchdog/msg15632.html][PATCH 03/23] watchdog: menf21bmc_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15633.html][PATCH 04/23] watchdog: meson_gxbb_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15580.html][PATCH 00/22] watchdog: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15581.html][PATCH 10/22] watchdog: da9055_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15641.html]RE: [PATCH 10/22] watchdog: da9055_wdt: Use 'dev' instead of dereferencing it repeatedly, Steve Twiss
+ [https://www.spinics.net/lists/linux-watchdog/msg15582.html][PATCH 09/22] watchdog: da9052_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15640.html]RE: [PATCH 09/22] watchdog: da9052_wdt: Use 'dev' instead of dereferencing it repeatedly, Steve Twiss
+ [https://www.spinics.net/lists/linux-watchdog/msg15583.html][PATCH 13/22] watchdog: davinci_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15584.html][PATCH 14/22] watchdog: ep93xx_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15585.html][PATCH 18/22] watchdog: imgpdc_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15586.html][PATCH 20/22] watchdog: kempld_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15587.html][PATCH 22/22] watchdog: max63xx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15588.html][PATCH 21/22] watchdog: lpc18xx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15589.html][PATCH 19/22] watchdog: intel-mid_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15590.html][PATCH 17/22] watchdog: iTCO_wdt: Various improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15591.html][PATCH 16/22] watchdog: gpio_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15592.html][PATCH 15/22] watchdog: ftwdt010_wdt: Use 'dev' consistently, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15593.html][PATCH 12/22] watchdog: da9063_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15644.html]RE: [PATCH 12/22] watchdog: da9063_wdt: Use 'dev' instead of dereferencing it repeatedly, Steve Twiss
# [https://www.spinics.net/lists/linux-watchdog/msg15645.html]Re: [PATCH 12/22] watchdog: da9063_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15594.html][PATCH 07/22] watchdog: bcm_kona_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15609.html]Re: [PATCH 07/22] watchdog: bcm_kona_wdt: Convert to use device managed functions and other improvements, Ray Jui
+ [https://www.spinics.net/lists/linux-watchdog/msg15595.html][PATCH 11/22] watchdog: da9062_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15642.html]RE: [PATCH 11/22] watchdog: da9062_wdt: Use 'dev' instead of dereferencing it repeatedly, Steve Twiss
+ [https://www.spinics.net/lists/linux-watchdog/msg15596.html][PATCH 08/22] watchdog: cadence_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15597.html][PATCH 05/22] watchdog: bcm2835_wdt: drop platform_set_drvdata, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15608.html]Re: [PATCH 05/22] watchdog: bcm2835_wdt: drop platform_set_drvdata, Stefan Wahren
+ [https://www.spinics.net/lists/linux-watchdog/msg15598.html][PATCH 06/22] watchdog: bcm7038_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15599.html][PATCH 04/22] watchdog: atlas7_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15600.html][PATCH 01/22] watchdog: armada_37xx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15601.html][PATCH 02/22] watchdog: asm9260_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15602.html][PATCH 03/22] watchdog: aspeed_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15605.html]Re: [PATCH 03/22] watchdog: aspeed_wdt: Use 'dev' instead of dereferencing it repeatedly, Andrew Jeffery
# [https://www.spinics.net/lists/linux-watchdog/msg15606.html]Re: [PATCH 03/22] watchdog: aspeed_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15607.html]Re: [PATCH 03/22] watchdog: aspeed_wdt: Use 'dev' instead of dereferencing it repeatedly, Andrew Jeffery
* [https://www.spinics.net/lists/linux-watchdog/msg15579.html][PATCH v2] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Georg Hofmann
+ [https://www.spinics.net/lists/linux-watchdog/msg15603.html]Re: [PATCH v2] watchdog: imx2_wdt: Fix set_timeout for big timeout values, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15575.html][PATCH] watchdog: rtd119x_wdt: Fix remove function, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15568.html][PATCH] watchdog: machzwd : fix warning Using plain integer as NULL pointer, Hariprasad Kelam
+ [https://www.spinics.net/lists/linux-watchdog/msg15573.html]Re: [PATCH] watchdog: machzwd : fix warning Using plain integer as NULL pointer, Mukesh Ojha
+ [https://www.spinics.net/lists/linux-watchdog/msg15574.html]Re: [PATCH] watchdog: machzwd : fix warning Using plain integer as NULL pointer, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15567.html][PATCH] Fix set_timeout for big timeout values, Georg Hofmann
+ [https://www.spinics.net/lists/linux-watchdog/msg15569.html]Re: [PATCH] Fix set_timeout for big timeout values, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15570.html]Re: [PATCH] Fix set_timeout for big timeout values, Georg Hofmann
# [https://www.spinics.net/lists/linux-watchdog/msg15571.html]Re: [PATCH] Fix set_timeout for big timeout values, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15572.html]Re: [PATCH] Fix set_timeout for big timeout values, Georg Hofmann
+ [https://www.spinics.net/lists/linux-watchdog/msg15576.html][PATCH] Fix set_timeout for big timeout values, Georg Hofmann
o [https://www.spinics.net/lists/linux-watchdog/msg15577.html]Re: [PATCH] Fix set_timeout for big timeout values, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15578.html]Re: [PATCH] Fix set_timeout for big timeout values, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15553.html][PATCH v13 0/8] support ROHM BD70528 PMIC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15554.html][PATCH v13 1/8] mfd: regulator: clk: split rohm-bd718x7.h, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15555.html][PATCH v13 2/8] mfd: bd70528: Support ROHM bd70528 PMIC - core, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15556.html][PATCH v13 3/8] clk: bd718x7: Support ROHM BD70528 clk block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15557.html][PATCH v13 4/8] dt-bindings: mfd: Document first ROHM BD70528 bindings, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15558.html][PATCH v13 5/8] gpio: Initial support for ROHM bd70528 GPIO block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15559.html][PATCH v13 6/8] rtc: bd70528: Initial support for ROHM bd70528 RTC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15560.html][PATCH v13 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15561.html][PATCH v13 8/8] watchdog: bd70528: Initial support for ROHM BD70528 watchdog block, Matti Vaittinen
* [https://www.spinics.net/lists/linux-watchdog/msg15534.html][PATCH v12 0/8] support ROHM BD70528 PMIC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15535.html][PATCH v12 1/8] mfd: regulator: clk: split rohm-bd718x7.h, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15536.html][PATCH v12 2/8] mfd: bd70528: Support ROHM bd70528 PMIC - core, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15537.html][PATCH v12 3/8] clk: bd718x7: Support ROHM BD70528 clk block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15538.html][PATCH v12 4/8] dt-bindings: mfd: Document first ROHM BD70528 bindings, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15539.html][PATCH v12 5/8] gpio: Initial support for ROHM bd70528 GPIO block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15540.html][PATCH v12 6/8] rtc: bd70528: Initial support for ROHM bd70528 RTC, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15541.html][PATCH v12 7/8] power: supply: Initial support for ROHM BD70528 PMIC charger block, Matti Vaittinen
+ [https://www.spinics.net/lists/linux-watchdog/msg15542.html][PATCH v12 8/8] watchdog: bd70528: Initial support for ROHM BD70528 watchdog block, Matti Vaittinen
* [https://www.spinics.net/lists/linux-watchdog/msg15517.html][PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15518.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Alexandre Belloni
+ [https://www.spinics.net/lists/linux-watchdog/msg15519.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Joel Stanley
+ [https://www.spinics.net/lists/linux-watchdog/msg15520.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Linus Walleij
+ [https://www.spinics.net/lists/linux-watchdog/msg15521.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Maxime Ripard
+ [https://www.spinics.net/lists/linux-watchdog/msg15523.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Michal Simek
+ [https://www.spinics.net/lists/linux-watchdog/msg15526.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Thierry Reding
+ [https://www.spinics.net/lists/linux-watchdog/msg15543.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Florian Fainelli
+ [https://www.spinics.net/lists/linux-watchdog/msg15552.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Patrice CHOTARD
+ [https://www.spinics.net/lists/linux-watchdog/msg15562.html]Re: [PATCH] watchdog: Convert to use devm_platform_ioremap_resource, Vladimir Zapolskiy
* [https://www.spinics.net/lists/linux-watchdog/msg15513.html][PATCH] watchdog: imx2_wdt: use devm_platform_ioremap_resource() to simplify code, Anson Huang
+ [https://www.spinics.net/lists/linux-watchdog/msg15514.html]Re: [PATCH] watchdog: imx2_wdt: use devm_platform_ioremap_resource() to simplify code, Mukesh Ojha
+ [https://www.spinics.net/lists/linux-watchdog/msg15515.html]Re: [PATCH] watchdog: imx2_wdt: use devm_platform_ioremap_resource() to simplify code, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15495.html][PATCH v11 00/27] Ingenic JZ47xx TCU pachset v11, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg15468.html][PATCH v11 01/27] dt-bindings: ingenic: Add DT bindings for TCU clocks, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg15469.html][PATCH v11 02/27] doc: Add doc for the Ingenic TCU hardware, Paul Cercueil
+ [https://www.spinics.net/lists/linux-watchdog/msg15470.html][PATCH v11 03/27] dt-bindings: Add doc for the Ingenic TCU drivers, Paul Cercueil
